"COMPANY 
","FROM YEAR 
","TO YEAR 
","ATTACHMENT 
","**XBRL 
","ORIGINAL SUBMISSION DATE 
","LATEST REVISION DATE 
"
"PDS Limited [""PDS/The Company""]",2025,2026,"https://nsearchives.nseindia.com/corporate/BRSR_538730_07072026190104.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_538730_7720261914_BRSR_WebXMLFile_20260707_190343632.xml","07-Jul-2026","-"
"IFB Industries Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/IFBIND1_07072026184935_BRSR_Intimation_2026.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_2026_BRSR_WebXMLFile_20260707_184946972.xml","07-Jul-2026","-"
"Oriental Hotels Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/TAJORIENTAL_07072026184500_BRSR.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSRXML31032026_BRSR_WebXMLFile_20260707_184513245.xml","07-Jul-2026","-"
"Artemis Medicare Services Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/BRSR_542919_07072026175128.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_542919_772026175128_BRSR_WebXMLFile_20260707_175145136.xml","07-Jul-2026","-"
"Bajaj Holdings & Investment Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/BAJAJHLDNG_07072026173123_BHIL_Intimation_-_BRSR_Final_signed.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSRfinal04072026_1_BRSR_WebXMLFile_20260707_173158444.xml","07-Jul-2026","-"
"Kirloskar Brothers Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/KIRLOSBROS_07072026172301_Business_Responsibility_and_Sustainability_Report_2025_26.pdf","https://nsearchives.nseindia.com/corporate/xbrl/XML_BRSR2025-26_BRSR_WebXMLFile_20260707_172317800.xml","07-Jul-2026","-"
"Redington Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/Abhinandhanan_07072026170245_Redington_BRSR_FY26_07_07_26_SD.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSRRR_BRSR_WebXMLFile_20260707_170259740.xml","07-Jul-2026","-"
"HONEYWELL AUTOMATION INDIA LIMITED",2025,2026,"https://nsearchives.nseindia.com/corporate/HONAUT_07072026165517_SEBRSR2526.pdf","https://nsearchives.nseindia.com/corporate/xbrl/HAILBRSRFY2526_BRSR_WebXMLFile_20260707_165542843.xml","07-Jul-2026","-"
"Concord Biotech Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/CONCORD_07072026163043_Intimation_BRSR.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR202526_BRSR_WebXMLFile_20260707_163056945.xml","07-Jul-2026","-"
"FOSECO INDIA LIMITED",2025,2025,"https://nsearchives.nseindia.com/corporate/BRSR_500150_07072026160750.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_500150_77202616750_BRSR_WebXMLFile_20260707_160804753.xml","07-Jul-2026","-"
"IKIO TECHNOLOGIES LIMITED",2025,2026,"https://nsearchives.nseindia.com/corporate/BRSR_543923_07072026160023.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_543923_77202616023_BRSR_WebXMLFile_20260707_160347799.xml","07-Jul-2026","-"
"NOTLISTED",2025,2026,"https://nsearchives.nseindia.com/corporate/BRSR_509966_07072026154949.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_509966_772026154949_BRSR_WebXMLFile_20260707_155003412.xml","07-Jul-2026","-"
"Data Patterns (India) Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/Datapatterns_07072026124717_SubmissionofBRSRFY26-Signed.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSRFY2526_BRSR_WebXMLFile_20260707_125339487.xml","07-Jul-2026","-"
"BF INVESTMENT LIMITED",2025,2026,"https://nsearchives.nseindia.com/corporate/BFINVEST_07072026115840_BFIL_BRSR_disclosure_2026.pdf","https://nsearchives.nseindia.com/corporate/xbrl/5333303_BRSR_BRSR_WebXMLFile_20260707_115903865.xml","07-Jul-2026","-"
"Shankara Buildpro Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/BRSR_544517_07072026114009.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_544517_77202611409_BRSR_WebXMLFile_20260707_114025098.xml","07-Jul-2026","-"
"NRB Bearing Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/NRBBEARING1_06072026224958_NRBBearingsBRSR2026for_upload.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_BRSR_WebXMLFile_20260706_225019320.xml","06-Jul-2026","-"
"Avadh Sugar & Energy Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/BRSR_540649_06072026223904.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_540649_67202622394_BRSR_WebXMLFile_20260706_223918587.xml","06-Jul-2026","-"
"Automotive Stampings and Assemblies Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/ASAL_06072026222159_BRSRIntimation.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR2026_1_BRSR_WebXMLFile_20260706_222233347.xml","06-Jul-2026","-"
"Pfizer Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/BRSR_500680_06072026221146.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_500680_672026221146_BRSR_WebXMLFile_20260706_221201039.xml","06-Jul-2026","-"
